SQL> 
SQL> set lines 500
SQL> 
SQL> select distinct target_type || '|' || metric_name || '|' || metric_label || '|' || column_label
  2  from  mgmt$metric_current
  3  order by 1;

TARGET_TYPE||'|'||METRIC_NAME||'|'||METRIC_LABEL||'|'||COLUMN_LABEL
------------------------------------------------------------------------------------------------
casm_diskgroup_component|DiskGroup_Target_Component|Disk Group Target Component|Disk Count   
oracle_database|wait_bottlenecks|Wait Bottlenecks|Pipe put (%)   
oracle_database|wait_bottlenecks|Wait Bottlenecks|Row cache lock (%)   
oracle_database|wait_bottlenecks|Wait Bottlenecks|SQL*Net break/reset to client (%)
oracle_database|wait_bottlenecks|Wait Bottlenecks|SQL*Net break/reset to dblink (%)
oracle_database|wait_bottlenecks|Wait Bottlenecks|SQL*Net message to client (%) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|SQL*Net message to dblink (%) 
oracle_database|wait_bottlenecks|Wait Bottlenecks|SQL*Net more data from client (%)
oracle_database|wait_bottlenecks|Wait Bottlenecks|SQL*Net more data from dblink (%)
oracle_database|wait_bottlenecks|Wait Bottlenecks|SQL*Net more data to client (%)  
oracle_database|wait_bottlenecks|Wait Bottlenecks|SQL*Net more data to dblink (%)  
oracle_database|wait_bottlenecks|Wait Bottlenecks|Wait Time (%)  
oracle_database|wait_bottlenecks|Wait Bottlenecks|Write complete waits (%) 
oracle_database|wait_sess_cls|Waits by Wait Class|Average Users Waiting Count
oracle_database|wait_sess_cls|Waits by Wait Class|Database Time Spent Waiting (%)  
oracle_database|wait_sess|Wait by Session Count|Session Waiting for Event Count 
oracle_em_service|http_response|HTTP Transaction|[HTTP Transaction] Status Description  
oracle_emd|EMDAdditionalStatus|EMD additional performance, resource, usage metrics|Active Job Count  
oracle_emd|EMDAdditionalStatus|EMD additional performance, resource, usage metrics|CPU Load (%)  
oracle_emd|EMDAdditionalStatus|EMD additional performance, resource, usage metrics|Dispatched Actions
oracle_emd|EMDAdditionalStatus|EMD additional performance, resource, usage metrics|Java Heap Free (MB)   
oracle_emd|EMDAdditionalStatus|EMD additional performance, resource, usage metrics|Java Heap Max 
oracle_emd|EMDAdditionalStatus|EMD additional performance, resource, usage metrics|Java Heap Min 
oracle_emd|EMDAdditionalStatus|EMD additional performance, resource, usage metrics|Java Heap Total (MB)  
oracle_emd|EMDAdditionalStatus|EMD additional performance, resource, usage metrics|Java Heap Used (MB)   
oracle_emd|EMDAdditionalStatus|EMD additional performance, resource, usage metrics|Minutes since Out-Of-Memory Agent Restart 
oracle_emd|EMDCertExpDate|Agent Certificate Expiration Information|CertificateExpirationDate 
oracle_emd|EMDCertExpDate|Agent Certificate Expiration Information|No. of Days for Expiration
oracle_emd|EMDDiskUsage|Agent Disk Usage|Disk Usage for agent_inst/diag (%)
oracle_emd|EMDDiskUsage|Agent Disk Usage|Disk Usage for agent_inst/diag(MB)
oracle_emd|EMDDiskUsage|Agent Disk Usage|Disk Usage for agent_inst/sysman/emd (%)  
oracle_emd|EMDDiskUsage|Agent Disk Usage|Disk Usage for agent_inst/sysman/emd(MB)  
oracle_emd|EMDDiskUsage|Agent Disk Usage|Disk Usage for agent_inst/sysman/log (%)  
oracle_emd|EMDDiskUsage|Agent Disk Usage|Disk Usage for agent_inst/sysman/log(MB)  
oracle_emd|EMDDynamicPropertyRollup|EMDDynamicPropertyRollup|AvgElapsedTime (ms)
oracle_emd|EMDDynamicPropertyRollup|EMDDynamicPropertyRollup|ExecutionCount
oracle_emd|EMDDynamicPropertyRollup|EMDDynamicPropertyRollup|MaxElapsedTime (ms)
oracle_emd|EMDDynamicPropertyRollup|EMDDynamicPropertyRollup|MinElapsedTime (ms)
oracle_emd|EMDIdentity|User Identification|Group Name
oracle_emd|EMDIdentity|User Identification|Location  
oracle_emd|EMDIdentity|User Identification|Other Groups  
oracle_emd|EMDIdentity|User Identification|User Name 
oracle_emd|EMDStatus|EMD performance, resource, usage metrics|% of Collection Interval spent in Execution
oracle_emd|EMDStatus|EMD performance, resource, usage metrics|% of Java Heap Max Used   
oracle_emd|EMDStatus|EMD performance, resource, usage metrics|CPU - Used (%) 
oracle_emd|EMDStatus|EMD performance, resource, usage metrics|Collections scheduled for next hour
oracle_emd|EMDStatus|EMD performance, resource, usage metrics|HeartBeat Agent Time (ms) 
oracle_emd|EMDStatus|EMD performance, resource, usage metrics|HeartBeat Network Time (ms)    
oracle_emd|EMDStatus|EMD performance, resource, usage metrics|HeartBeat OMS Time (ms)   
oracle_emd|EMDStatus|EMD performance, resource, usage metrics|Ping response (ms)
oracle_emd|EMDStatus|EMD performance, resource, usage metrics|Transfer time from Agent to OMS (ms)   
oracle_emd|EMDStatus|EMD performance, resource, usage metrics|Upload Agent Time (ms)
oracle_emd|EMDStatus|EMD performance, resource, usage metrics|Upload Network Time (ms)  
oracle_emd|EMDStatus|EMD performance, resource, usage metrics|Upload OMS Time (ms) 
oracle_emd|EMDStatus|EMD performance, resource, usage metrics|Upload Work Queue (bytes) 
oracle_emd|EMDUploadStats|Upload Statistics|Number of Files to Upload  
oracle_emd|EMDUploadStats|Upload Statistics|Size of Files to Upload (MB)   
oracle_emd|EMDUploadStats|Upload Statistics|Upload Rate (KB/sec) 
oracle_emd|EMDUploadSystemMonitor|Upload System Monitor|Last time purge has occurred
oracle_emd|EMDUploadSystemMonitor|Upload System Monitor|Loader declared backoff expiration   
oracle_emd|EMDUploadSystemMonitor|Upload System Monitor|Number of files in the data channel pending upload 
oracle_emd|EMDUploadSystemMonitor|Upload System Monitor|Number of files in the metadata channel pending upload 
oracle_emd|EMDUploadSystemMonitor|Upload System Monitor|Number of files in the on demand channel pending upload
oracle_emd|EMDUploadSystemMonitor|Upload System Monitor|Number of files in the severity channel pending upload 
oracle_emd|EMDUploadSystemMonitor|Upload System Monitor|Number of files in the upload on fetch channel pending upload
oracle_emd|EMDUploadSystemMonitor|Upload System Monitor|Number of files waiting to be merged 
oracle_emd|EMDUserLimits|User Limit Info|CoreDump (blocks)   
oracle_emd|EMDUserLimits|User Limit Info|Data (kbytes)   
oracle_emd|EMDUserLimits|User Limit Info|File (blocks)   
oracle_emd|EMDUserLimits|User Limit Info|NoFiles (descriptors)   
oracle_emd|EMDUserLimits|User Limit Info|Stack (kbytes)  
oracle_emd|EMDUserLimits|User Limit Info|Time (seconds)  
oracle_emd|EMDUserLimits|User Limit Info|Virtual Mem (kbytes)
oracle_emd|ProcessInfo|Agent Process Statistics|Agent Resident Memory Utilization (KB)  
oracle_emd|ProcessInfo|Agent Process Statistics|Agent Virtual Memory Utilization (KB)   
oracle_emd|ProcessInfo|Agent Process Statistics|CPU Usage (%)
oracle_emd|ProcessInfo|Agent Process Statistics|Number Files Open
oracle_emd|ProcessInfo|Agent Process Statistics|Number Handles Open
oracle_emd|ProcessInfo|Agent Process Statistics|Number Threads Created 
oracle_emd|ProcessInfo|Agent Process Statistics|Process ID   
oracle_emd|ProcessInfo|Agent Process Statistics|Resident Memory Utilization (%) 
oracle_emd|ProcessInfo|Agent Process Statistics|Resident Memory Utilization (KB)
oracle_emd|ProcessInfo|Agent Process Statistics|Schedule Attempts Percentage 
oracle_emd|ProcessInfo|Agent Process Statistics|Virtual Memory Utilization (KB) 
oracle_emd|ProcessInfo|Agent Process Statistics|Virtual Memory Utilization Growth (%)   
oracle_emd|Targets_not_uploading|Targets not uploading|Count of targets not uploading   
oracle_emrep|AQ_Status|Management Services AQ Status|Dequeue Status
oracle_emrep|AQ_Status|Management Services AQ Status|Enqueue Status
oracle_emrep|AgentInstalls|AgentInstalls|num_installations   
oracle_emrep|AgentTargets|AgentTargets|num_instances 
oracle_emrep|Agent_Status|Agent Status|Restarts (past 24 hrs)
oracle_emrep|Configuration|Configuration|Number of Administrators
oracle_emrep|Configuration|Configuration|Number of Groups
oracle_emrep|Configuration|Configuration|Number of Roles 
oracle_emrep|Configuration|Configuration|Number of Targets   
oracle_emrep|Configuration|Configuration|Repository Tablespace Used(MB)
oracle_emrep|Configuration|Configuration|Target Addition Rate
oracle_emrep|Configuration|Configuration|Total Repository Tablespace(MB)   
oracle_emrep|Configuration|Configuration|User Addition Rate  
oracle_emrep|ConsoleStatistics|Console Statistics|HTTP Sessions  
oracle_emrep|ConsoleStatistics|Console Statistics|Repository Connection Pool Size  
oracle_emrep|ConsoleStatistics|Console Statistics|Request Processing Time (sec) 
oracle_emrep|ConsoleStatistics|Console Statistics|Request Processing Time in OMS (sec)  
oracle_emrep|ConsoleStatistics|Console Statistics|Request Processing Time in Repository (sec)
oracle_emrep|ConsoleStatistics|Console Statistics|Requests (per 10 min)
oracle_emrep|DBInstalls|DBInstalls|num_installations 
oracle_emrep|DBMS_Job_Status|DBMS Job Status|DBMS Job Invalid Schedule 
oracle_emrep|DBMS_Job_Status|DBMS Job Status|DBMS Job Processing Time (% of Last Hour)  
oracle_emrep|DBMS_Job_Status|DBMS Job Status|DBMS Job UpDown 
oracle_emrep|DBMS_Job_Status|DBMS Job Status|Throughput Per Second 
oracle_emrep|DBTargets|DBTargets|num_instances  
oracle_emrep|EventPerformance|Event Performance|Event Processing Time (% of Last Hour)  
oracle_emrep|EventPerformance|Event Performance|Events Processed (Last Hour) 
oracle_emrep|EventPerformance|Event Performance|Pending Events Count   
oracle_emrep|EventStatus|Event Status|Average Event Dequeue Time (Milliseconds) 
oracle_emrep|EventStatus|Event Status|Average Event Processing Time (Seconds)
oracle_emrep|EventStatus|Event Status|Average Event Queue Query Time (Seconds)
oracle_emrep|EventStatus|Event Status|Average Event Queue Wait Time (Seconds)
oracle_emrep|EventStatus|Event Status|Event System UpDown
oracle_emrep|EventStatus|Event Status|Queues With Invalid Listener 
oracle_emrep|EventStatus|Event Status|Queues With No Listener
oracle_emrep|EventStatus|Event Status|Total Events Pending   
oracle_emrep|EventStatus|Event Status|Total Events Processed (Last Hour)   
oracle_emrep|FusionMWInstalls|FusionMWInstalls|num_installations 
oracle_emrep|FusionMWTargets|FusionMWTargets|num_instances   
oracle_emrep|Harvester_Job_Status|Harvester Job Status|Harvester Error 
oracle_emrep|Harvester_Job_Status|Harvester Job Status|Harvester Status
oracle_emrep|Harvester_Job_Status|Harvester Job Status|Last Harvester Job Run
oracle_emrep|Harvester_Job_Status|Harvester Job Status|Next Harvester Job Run
oracle_emrep|Harvester_Job_Status|Harvester Job Status|OCM Version 
oracle_emrep|Harvester_Job_Status|Harvester Job Status|Total Targets Failed
oracle_emrep|Harvester_Job_Status|Harvester Job Status|Total Targets Processed
oracle_emrep|Harvester_Job_Status|Harvester Job Status|Total Targets Successful 
oracle_emrep|Hosts|Hosts|num_hosts
oracle_emrep|No_Agents|Active Agents|Number of Active Agents 
oracle_emrep|NotifPerformance|Notification Delivery Performance|Average Notification Time (seconds)  
oracle_emrep|NotifPerformance|Notification Delivery Performance|Notification Processing Time (% of Last Hour)  
oracle_emrep|NotifPerformance|Notification Delivery Performance|Notifications Processed (Last Hour)  
oracle_emrep|NotifPerformance|Notification Delivery Performance|Pending Notifications Count  
oracle_emrep|Notification_Status|Notification Status|Notification UpDown   
oracle_emrep|OverallPagePerformance|Overall Page Performance|Page Accesses (per 10 min) 
oracle_emrep|OverallPagePerformance|Overall Page Performance|Page Processing Time (sec) 
oracle_emrep|OverallPagePerformance|Overall Page Performance|Page Processing Time in OMS (sec)   
oracle_emrep|OverallPagePerformance|Overall Page Performance|Page Processing Time in Repository (sec)
oracle_emrep|OverallPagePerformance|Overall Page Performance|Processing Time in Browser/Network for Multi-Requests Page (sec)
oracle_emrep|OverallPagePerformance|Overall Page Performance|SQL/PLSQL Executions (per 10 min)   
oracle_emrep|Overall_Status|Overall Status|Overall Backoff Requests in the Last 10 Mins 
oracle_emrep|Overall_Status|Overall Status|Overall Rows Processed by Loader in the Last Hour 
oracle_emrep|Overall_Status|Overall Status|Overall Upload Backlog (Files)  
oracle_emrep|Overall_Status|Overall Status|Overall Upload Backlog (MB) 
oracle_emrep|Overall_Status|Overall Status|Overall Upload Rate (MB/sec)
oracle_emrep|Overall_Status|Overall Status|Unmonitored Targets (%) 
oracle_emrep|PagePerformance|Page Performance|Page Accesses (per 10 min)   
oracle_emrep|PagePerformance|Page Performance|Page Processing Time (sec)   
oracle_emrep|PagePerformance|Page Performance|Page Processing Time in OMS (sec) 
oracle_emrep|PagePerformance|Page Performance|Page Processing Time in Repository (sec)  
oracle_emrep|PagePerformance|Page Performance|Processing Time in Browser/Network for Multi-Requests Page (sec) 
oracle_emrep|PagePerformance|Page Performance|Requests per Page  
oracle_emrep|PagePerformance|Page Performance|SQL/PLSQL executions for Page Processing  
oracle_emrep|Repo_Collection_Performance|Repository Collection Performance|Average Collection Duration(Seconds)
oracle_emrep|Repo_Collection_Performance|Repository Collection Performance|Estimated time for clearing current Collections backlog (Mins)
oracle_emrep|Repo_Collection_Performance|Repository Collection Performance|Number of Collections In Backlog
oracle_emrep|Repo_Collection_Performance|Repository Collection Performance|Number of Collections Processed 
oracle_emrep|Repo_Collection_Performance|Repository Collection Performance|Number of Workers 
oracle_emrep|Repo_Collection_Performance|Repository Collection Performance|Throughput Per Second 
oracle_emrep|Repository_Job_Dispatcher|Repository Job Scheduler Performance|Average number of steps marked as ready by the scheduler 
oracle_emrep|Repository_Job_Dispatcher|Repository Job Scheduler Performance|Estimated time for clearing current Job steps backlog (Mins) 
oracle_emrep|Repository_Job_Dispatcher|Repository Job Scheduler Performance|Job Step Backlog 
oracle_emrep|Repository_Job_Dispatcher|Repository Job Scheduler Performance|Latency in marking steps as ready by the scheduler   
oracle_emrep|Repository_Job_Dispatcher|Repository Job Scheduler Performance|Overall Job Steps per Second 
oracle_emrep|Repository_Job_Dispatcher|Repository Job Scheduler Performance|Step Scheduler cycles (per minute) 
oracle_emrep|Response|Response|Status 
oracle_emrep|Rollup_Performance|Metric Rollup Performance|Duration(Mins)   
oracle_emrep|Rollup_Performance|Metric Rollup Performance|Number of Records Rolled Up   
oracle_emrep|Rollup_Performance|Metric Rollup Performance|Throughput Per Minute 
oracle_emrep|UsageSummary_AgtTimingDynProps|Usage Summary : Agent Timing for Dynamic Properties|Average Seconds per Evaluation   
oracle_emrep|UsageSummary_AgtTimingDynProps|Usage Summary : Agent Timing for Dynamic Properties|Maximum Seconds per Evaluation   
oracle_emrep|UsageSummary_AgtTimingDynProps|Usage Summary : Agent Timing for Dynamic Properties|Number of Evaluations
oracle_emrep|UsageSummary_AgtTimingDynProps|Usage Summary : Agent Timing for Dynamic Properties|Number of Seconds  
oracle_emrep|UsageSummary_AgtTimingDynProps|Usage Summary : Agent Timing for Dynamic Properties|Rank by Total Seconds
oracle_emrep|UsageSummary_ComplianceByTgtType|Usage Summary : Compliance By Target Type|% of Total Evals 
oracle_emrep|UsageSummary_ComplianceByTgtType|Usage Summary : Compliance By Target Type|Number of Evals  
oracle_emrep|UsageSummary_ComplianceByTgtType|Usage Summary : Compliance By Target Type|Number of Msecs  
oracle_emrep|UsageSummary_ComplianceByTgtType|Usage Summary : Compliance By Target Type|Number of Targets
oracle_emrep|UsageSummary_ComplianceByTgtType|Usage Summary : Compliance By Target Type|Rank by Total Evals
oracle_emrep|UsageSummary_ComplianceByType|Usage Summary : Compliance By Type|% of Total Evals   
oracle_emrep|UsageSummary_ComplianceByType|Usage Summary : Compliance By Type|Number of Evals
oracle_emrep|UsageSummary_ComplianceByType|Usage Summary : Compliance By Type|Number of MSecs
oracle_emrep|UsageSummary_ComplianceByType|Usage Summary : Compliance By Type|Rank by Total Evals
oracle_emrep|UsageSummary_ComplianceTopTgts|Usage Summary : Compliance Top Targets|Multiple of Avg Evals 
oracle_emrep|UsageSummary_ComplianceTopTgts|Usage Summary : Compliance Top Targets|Number of Evals   
oracle_emrep|UsageSummary_ComplianceTopTgts|Usage Summary : Compliance Top Targets|Number of Msecs   
oracle_emrep|UsageSummary_ComplianceTopTgts|Usage Summary : Compliance Top Targets|Rank by Total Evals   
oracle_emrep|UsageSummary_Compliance|Usage Summary : Compliance|Number of Evals 
oracle_emrep|UsageSummary_Compliance|Usage Summary : Compliance|Number of MSecs 
oracle_emrep|UsageSummary_Compliance|Usage Summary : Compliance|Number of Targets  
oracle_emrep|UsageSummary_EventsByTgtType|Usage Summary : Events By Target Type|% of Total Events
oracle_emrep|UsageSummary_EventsByTgtType|Usage Summary : Events By Target Type|Number of Events 
oracle_emrep|UsageSummary_EventsByTgtType|Usage Summary : Events By Target Type|Number of Sequences  
oracle_emrep|UsageSummary_EventsByTgtType|Usage Summary : Events By Target Type|Number of Targets
oracle_emrep|UsageSummary_EventsByTgtType|Usage Summary : Events By Target Type|Rank by Total Events 
oracle_emrep|UsageSummary_EventsByType|Usage Summary : Events By Type|% of Total Events 
oracle_emrep|UsageSummary_EventsByType|Usage Summary : Events By Type|Number of Events  
oracle_emrep|UsageSummary_EventsByType|Usage Summary : Events By Type|Number of Sequences    
oracle_emrep|UsageSummary_EventsByType|Usage Summary : Events By Type|Rank by Total Events   
oracle_emrep|UsageSummary_EventsTopTgts|Usage Summary : Events Top Targets|Multiple of Avg Events
oracle_emrep|UsageSummary_EventsTopTgts|Usage Summary : Events Top Targets|Number of Events  
oracle_emrep|UsageSummary_EventsTopTgts|Usage Summary : Events Top Targets|Number of Sequences   
oracle_emrep|UsageSummary_EventsTopTgts|Usage Summary : Events Top Targets|Rank by Total Events  
oracle_emrep|UsageSummary_Events|Usage Summary : Events|Number of Events   
oracle_emrep|UsageSummary_Events|Usage Summary : Events|Number of Sequences
oracle_emrep|UsageSummary_Events|Usage Summary : Events|Number of Targets  
oracle_emrep|UsageSummary_JobsByOwner|Usage Summary : Jobs By Owner|% of Total MSecs
oracle_emrep|UsageSummary_JobsByOwner|Usage Summary : Jobs By Owner|Number of Execs
oracle_emrep|UsageSummary_JobsByOwner|Usage Summary : Jobs By Owner|Number of MSecs
oracle_emrep|UsageSummary_JobsByOwner|Usage Summary : Jobs By Owner|Rank by Total MSecs 
oracle_emrep|UsageSummary_JobsByType|Usage Summary : Jobs By Type|% of Total MSecs 
oracle_emrep|UsageSummary_JobsByType|Usage Summary : Jobs By Type|Number of Execs  
oracle_emrep|UsageSummary_JobsByType|Usage Summary : Jobs By Type|Number of MSecs  
oracle_emrep|UsageSummary_JobsByType|Usage Summary : Jobs By Type|Rank by Total MSecs   
oracle_emrep|UsageSummary_Jobs|Usage Summary : Jobs|Number of Execs
oracle_emrep|UsageSummary_Jobs|Usage Summary : Jobs|Number of MSecs
oracle_emrep|UsageSummary_MetricsByGroup|Usage Summary : Metrics By Group|% of Total Bytes   
oracle_emrep|UsageSummary_MetricsByGroup|Usage Summary : Metrics By Group|Number of Bytes    
oracle_emrep|UsageSummary_MetricsByGroup|Usage Summary : Metrics By Group|Number of Collections  
oracle_emrep|UsageSummary_MetricsByGroup|Usage Summary : Metrics By Group|Number of MSecs    
oracle_emrep|UsageSummary_MetricsByGroup|Usage Summary : Metrics By Group|Number of Rows
oracle_emrep|UsageSummary_MetricsByGroup|Usage Summary : Metrics By Group|Number of Targets  
oracle_emrep|UsageSummary_MetricsByGroup|Usage Summary : Metrics By Group|Rank by Total Bytes
oracle_emrep|UsageSummary_MetricsByTgtType|Usage Summary : Metrics By Target Type|% of Total Bytes   
oracle_emrep|UsageSummary_MetricsByTgtType|Usage Summary : Metrics By Target Type|Number of Bytes
oracle_emrep|UsageSummary_MetricsByTgtType|Usage Summary : Metrics By Target Type|Number of Collections  
oracle_emrep|UsageSummary_MetricsByTgtType|Usage Summary : Metrics By Target Type|Number of MSecs
oracle_emrep|UsageSummary_MetricsByTgtType|Usage Summary : Metrics By Target Type|Number of Rows 
oracle_emrep|UsageSummary_MetricsByTgtType|Usage Summary : Metrics By Target Type|Number of Targets  
oracle_emrep|UsageSummary_MetricsByTgtType|Usage Summary : Metrics By Target Type|Rank by Total Bytes
oracle_emrep|UsageSummary_MetricsTopTgts|Usage Summary : Metrics Top Targets|Multiple of Avg Bytes   
oracle_emrep|UsageSummary_MetricsTopTgts|Usage Summary : Metrics Top Targets|Number of Bytes 
oracle_emrep|UsageSummary_MetricsTopTgts|Usage Summary : Metrics Top Targets|Number of Collections   
oracle_emrep|UsageSummary_MetricsTopTgts|Usage Summary : Metrics Top Targets|Number of MSecs 
oracle_emrep|UsageSummary_MetricsTopTgts|Usage Summary : Metrics Top Targets|Number of Rows  
oracle_emrep|UsageSummary_MetricsTopTgts|Usage Summary : Metrics Top Targets|Rank by Total Bytes 
oracle_emrep|UsageSummary_Metrics|Usage Summary : Metrics|Number of Bytes  
oracle_emrep|UsageSummary_Metrics|Usage Summary : Metrics|Number of Collections 
oracle_emrep|UsageSummary_Metrics|Usage Summary : Metrics|Number of MSecs  
oracle_emrep|UsageSummary_Metrics|Usage Summary : Metrics|Number of Rows   
oracle_emrep|UsageSummary_Metrics|Usage Summary : Metrics|Number of Targets
oracle_emrep|UsageSummary_NotifsBreakup|Usage Summary : Notifications Breakup|Number of MSecs in Device  
oracle_emrep|UsageSummary_NotifsBreakup|Usage Summary : Notifications Breakup|Number of MSecs in Framework 
oracle_emrep|UsageSummary_NotifsBreakup|Usage Summary : Notifications Breakup|Number of Notifications
oracle_emrep|UsageSummary_Notifs|Usage Summary : Notifications|Number of MSecs in Device
oracle_emrep|UsageSummary_Notifs|Usage Summary : Notifications|Number of MSecs in Framework  
oracle_emrep|UsageSummary_Notifs|Usage Summary : Notifications|Number of Notifications  
oracle_emrep|UsageSummary_TasksByType|Usage Summary : Tasks By Type|% of Total MSecs
oracle_emrep|UsageSummary_TasksByType|Usage Summary : Tasks By Type|Number of Secs 
oracle_emrep|UsageSummary_TasksByType|Usage Summary : Tasks By Type|Number of Targets   
oracle_emrep|UsageSummary_TasksByType|Usage Summary : Tasks By Type|Number of Task Executions
oracle_emrep|UsageSummary_TasksByType|Usage Summary : Tasks By Type|Rank by Total Secs  
oracle_emrep|UsageSummary_Tasks|Usage Summary : Tasks|Number of Secs   
oracle_emrep|UsageSummary_Tasks|Usage Summary : Tasks|Number of Targets
oracle_emrep|UsageSummary_Tasks|Usage Summary : Tasks|Number of Tasks Executed
oracle_emrep|metric_alerts_per_day|Metric Alerts Per Day|Number of Closed Metric Alerts 
oracle_emrep|metric_alerts_per_day|Metric Alerts Per Day|Number of Metric Alerts Backlogged  
oracle_emrep|metric_alerts_per_day|Metric Alerts Per Day|Number of Opened Metric Alerts 
oracle_emrep|metric_errors_closed|Metric Collection Errors Cleared(Per Day)|Number Of Errors Cleared 
oracle_emrep|metric_errors_reported|Metric Collection Errors Reported(Per Day)|Number Of Errors Reported 
oracle_emrep|pending_monitoring_jobs|Pending Monitoring Jobs|Pending Metric Extension Deployments
oracle_emrep|pending_monitoring_jobs|Pending Monitoring Jobs|Pending Template Applies   
oracle_emrep|repository_metric_task_perf|Repository Collection Task Performance|Run Duration(Seconds)
oracle_emrep|repository_operator_status|Repository Operation Status|Long Running Metric Collection Status
oracle_emrep|repository_operator_status|Repository Operation Status|Repository Job Scheduler Status  
oracle_emrep|repository_operator_status|Repository Operation Status|Short Running Metric Collection Status 
oracle_listener|General Status|General Status|Alias  
oracle_listener|General Status|General Status|SID List   
oracle_listener|General Status|General Status|SNMP Status
oracle_listener|General Status|General Status|Security   
oracle_listener|General Status|General Status|Start Date 
oracle_listener|General Status|General Status|TNS Address
oracle_listener|General Status|General Status|Trace Level
oracle_listener|General Status|General Status|Version
oracle_listener|Load|Load|Connections Established    
 
 
oracle_listener|Load|Load|Connections Refused (per   
 
 
oracle_listener|Response|Response|Response Time (msec)   
oracle_listener|Response|Response|Status
oracle_listener|TNS_ERRORS|TNS Errors|TNSMsg
oracle_oms_console|Repository_sessions|Repository Sessions|Repository Session Count
oracle_oms_console|Response|Response|Status
oracle_oms_pbs|Repository_sessions|Repository Sessions|Repository Session Count 
oracle_oms_pbs|Response|Response|Status 
oracle_oms|EventStatus|Event Status|Average Event Processing Time (Seconds)

TARGET_TYPE||'|'||METRIC_NAME||'|'||METRIC_LABEL||'|'||COLUMN_LABEL
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
oracle_oms|EventStatus|Event Status|Event Coordinator Status 
oracle_oms|EventStatus|Event Status|Event System UpDown  
oracle_oms|EventStatus|Event Status|Queues Not Being Processed   
oracle_oms|EventStatus|Event Status|Total Events Pending 
oracle_oms|EventStatus|Event Status|Total Events Processed (Last Hour) 
oracle_oms|Job_Dispatcher_Performance|Job Dispatcher Performance|Dispatcher cycles (per minute)  
oracle_oms|Job_Dispatcher_Performance|Job Dispatcher Performance|Free threads for internal steps 
oracle_oms|Job_Dispatcher_Performance|Job Dispatcher Performance|Free threads for system critical job steps
oracle_oms|Job_Dispatcher_Performance|Job Dispatcher Performance|Free threads for system normal job steps
oracle_oms|Job_Dispatcher_Performance|Job Dispatcher Performance|Free threads for user long job steps
oracle_oms|Job_Dispatcher_Performance|Job Dispatcher Performance|Free threads for user short job steps   
oracle_oms|Job_Dispatcher_Performance|Job Dispatcher Performance|Job Dispatcher Processing Time (%)  
oracle_oms|Job_Dispatcher_Performance|Job Dispatcher Performance|Job Steps Processed (per minute)
oracle_oms|Job_Dispatcher_Performance|Job Dispatcher Performance|Throughput for internal steps (per minute)
oracle_oms|Job_Dispatcher_Performance|Job Dispatcher Performance|Throughput for system critical job steps (per minute)  
oracle_oms|Job_Dispatcher_Performance|Job Dispatcher Performance|Throughput for system normal job steps (per minute) 
oracle_oms|Job_Dispatcher_Performance|Job Dispatcher Performance|Throughput for user long job steps (per minute)   
oracle_oms|Job_Dispatcher_Performance|Job Dispatcher Performance|Throughput for user short job steps (per minute)  
oracle_oms|Management_Loader_Status|Active Loader Status|Loader Backoff Count (per hour)
oracle_oms|Management_Loader_Status|Active Loader Status|Loader Throughput (rows per second) 
oracle_oms|Management_Loader_Status|Active Loader Status|Rows Processed in the Last Hour
oracle_oms|Management_Loader_Status|Active Loader Status|Total Loader Runtime in the Last Hour (seconds) 
oracle_oms|Management_Servlet_Status|Active Management Servlets|Notifications Processed 
oracle_oms|Management_Servlet_Status|Active Management Servlets|Page Hits (per minute)  
oracle_oms|Response|Response|Status   
oracle_oms|adrAlertLogIncidentError|Incident|Alert Log Error Trace File
oracle_oms|adrAlertLogIncidentError|Incident|Alert Log Name  
oracle_oms|adrAlertLogIncidentError|Incident|Diagnostic Incident 
oracle_oms|adrAlertLogIncidentError|Incident|ECID    
oracle_oms|adrAlertLogIncidentError|Incident|Impact  
oracle_oms|adrAlertLogIncidentError|Incident|Incident ID 
oracle_vm_cloud|GvmMacConflicts|Guest VM MAC address conflicts|Number of Guest VM MAC address conflict   
osm_cluster|ACFS_State|ASM Cluster File System State|ASM Cluster File System Availability    
osm_cluster|ACFS_State|ASM Cluster File System State|ASM Cluster File System Available Time  
osm_cluster|ACFS_State|ASM Cluster File System State|ASM Cluster File System Mount Point
osm_cluster|ACFS_State|ASM Cluster File System State|ASM Cluster File System Mount State
osm_cluster|Database_DiskGroup_Usage|Database Disk Group Usage|Total Bytes 
osm_cluster|DiskGroup_Usage|Disk Group Usage|Disk Group Free (MB)
osm_cluster|DiskGroup_Usage|Disk Group Usage|Disk Group Usable (MB)
osm_cluster|DiskGroup_Usage|Disk Group Usage|Disk Group Usable Free (MB)   
osm_cluster|DiskGroup_Usage|Disk Group Usage|Disk Group Used %   
osm_cluster|DiskGroup_Usage|Disk Group Usage|Redundancy  
osm_cluster|DiskGroup_Usage|Disk Group Usage|Size (MB)   
osm_cluster|DiskGroup_Usage|Disk Group Usage|Used % of Safely Usable   
osm_cluster|Disk_Path|Disk Path|Disk Name  
osm_cluster|Disk_Path|Disk Path|Disk Path  
osm_cluster|Disk_Path|Disk Path|Group Name 
